Date,Ticker,Close,Pred_1,Pred_3,Pred_7
2020-12-01,AAPL,122.72,,,
2020-12-02,AAPL,123.08,119.244525178073,,
2020-12-03,AAPL,122.94,122.68584496692314,,
2020-12-04,AAPL,122.25,123.27299308283374,119.75819368960704,
2020-12-07,AAPL,123.75,123.42752667185518,123.34664248381763,
2020-12-08,AAPL,124.38,121.78687544753352,123.08420762460698,
2020-12-09,AAPL,121.78,124.13273762932008,123.56270461273232,
2020-12-10,AAPL,123.24,124.80887179482704,122.80089799519172,120.61106374946543
2020-12-11,AAPL,122.41,122.29154604856906,124.61237512570737,123.88639465264882
2020-12-14,AAPL,121.78,123.34582936897202,125.32321700537373,124.72168527890143
2020-12-15,AAPL,127.88,122.12575641634994,122.04323151795822,123.77459815387397
2020-12-16,AAPL,127.81,122.46772500508719,123.61272124022494,123.48073558384638
2020-12-17,AAPL,128.7,127.26446928204605,123.04106753567636,125.54859827078016
2020-12-18,AAPL,126.66,128.22676851555596,122.83732758357661,125.87665289985695
2020-12-21,AAPL,128.23,128.916762576972,128.02373116184114,123.56560644227466
2020-12-22,AAPL,131.88,126.51929373364182,127.97992743658514,123.83202162473256
2020-12-23,AAPL,130.96,,129.26051715365094,123.75904570304837
2020-12-24,AAPL,131.97,,127.50607250376528,123.66013883076967
2020-12-28,AAPL,136.69,,,129.62014259166375
2020-12-29,AAPL,134.87,,,129.4518195164854
2020-12-30,AAPL,133.72,,,128.292568316302
2020-12-31,AAPL,132.69,,,
2020-12-01,AMZN,161.004,,,
2020-12-02,AMZN,160.176,158.7708581078303,,
2020-12-03,AMZN,159.337,161.59333347983204,,
2020-12-04,AMZN,158.129,160.2973551673752,159.40838826598707,
2020-12-07,AMZN,157.9,159.90923964216373,162.14822275238325,
2020-12-08,AMZN,158.865,158.152614740148,160.689151409782,
2020-12-09,AMZN,155.21,158.19577376419562,160.14978613547382,
2020-12-10,AMZN,155.074,159.6553472922327,159.2966541026518,161.04677997863004
2020-12-11,AMZN,155.821,155.44770188971137,158.80826592563443,163.03003389850147
2020-12-14,AMZN,157.848,155.45812939901398,160.1027209992989,162.35611284948376
2020-12-15,AMZN,158.256,155.73363173252773,155.76810042306678,161.19816943458292
2020-12-16,AMZN,162.048,157.99972657764857,155.7412742352316,159.93550048867866
2020-12-17,AMZN,161.804,159.09731749346525,156.81657929123065,160.4349441719626
2020-12-18,AMZN,160.083,161.45755330850167,158.55060939360695,160.91042305927908
2020-12-21,AMZN,160.309,162.6890528272951,159.51653631640502,157.27554455804366
2020-12-22,AMZN,160.326,159.99292123853056,162.00725679159223,156.67243587931168
2020-12-23,AMZN,159.264,,162.91266029513315,157.4858501259913
2020-12-24,AMZN,158.635,,161.1525277317006,160.1654107129209
2020-12-28,AMZN,164.198,,,163.70213657138265
2020-12-29,AMZN,166.1,,,163.8892882666757
2020-12-30,AMZN,164.292,,,161.82460119010327
2020-12-31,AMZN,162.846,,,
2020-12-01,BA,213.01,,,
2020-12-02,BA,223.85,211.15164816610016,,
2020-12-03,BA,237.2,212.99665494793504,,
2020-12-04,BA,232.71,225.0516218425349,210.7278107643441,
2020-12-07,BA,238.17,239.35020890287478,212.79070807119695,
2020-12-08,BA,236.57,230.8986578169199,223.7384139310818,
2020-12-09,BA,232.06,240.150796939845,240.01014506152416,
2020-12-10,BA,234.43,237.3092349640444,232.58411142005193,208.12780892115242
2020-12-11,BA,230.33,232.16847861304902,242.33547393522448,210.57524237631725
2020-12-14,BA,228.62,234.19101442385565,237.9541407475803,225.3133554352003
2020-12-15,BA,229.5,227.65837831942443,229.26373676902634,239.749165438246
2020-12-16,BA,225.87,228.96414564608688,232.49630487439234,231.25269230997256
2020-12-17,BA,221.24,229.39063591216248,227.64554662910467,241.5613514562857
2020-12-18,BA,219.75,225.7245109325511,229.0079498035911,236.90795545542412
2020-12-21,BA,219.31,220.01784144327678,229.21398364363887,229.40438105632325
2020-12-22,BA,218.78,216.80936824759888,222.45837318547441,230.1176460811873
2020-12-23,BA,219.69,,217.26440324335195,225.33680103820697
2020-12-24,BA,217.15,,216.541007164832,226.60485602127454
2020-12-28,BA,216.09,,,222.38141440471708
2020-12-29,BA,216.25,,,213.81914468436824
2020-12-30,BA,216.67,,,213.90828124097416
2020-12-31,BA,214.06,,,
2020-12-01,DIS,149.44,,,
2020-12-02,DIS,153.61,148.8040042745303,,
2020-12-03,DIS,153.24,149.8480280882034,,
2020-12-04,DIS,154.14,152.53614926333447,148.83272984356043,
2020-12-07,DIS,153.68,153.5996021555599,149.68119245082698,
2020-12-08,DIS,153.72,154.00566232814754,152.91723978455823,
2020-12-09,DIS,154.43,154.9547785168281,154.78113345592325,
2020-12-10,DIS,154.69,154.51213558357227,155.97499970551584,150.3841876163533
2020-12-11,DIS,175.72,153.94807239988856,155.17446501596226,150.64366747867402
2020-12-14,DIS,169.3,154.90290498720162,154.3305128694503,154.64132074702286
2020-12-15,DIS,173.94,172.81378148999923,154.16741854608452,155.274025924312
2020-12-16,DIS,173.12,172.1132220116329,155.82780526954903,156.9484299370712
2020-12-17,DIS,173.55,173.43436820723826,175.15024698002105,157.3244284380432
2020-12-18,DIS,172.89,173.31448498041917,171.90902618772415,155.5015534108827
2020-12-21,DIS,170.69,174.77123167599586,174.88033350454398,155.70905204464785
2020-12-22,DIS,170.45,172.83821799614537,174.22778478397782,156.28371427381293
2020-12-23,DIS,173.55,,175.58016448001692,177.26689527525534
2020-12-24,DIS,173.73,,174.36647903202223,174.47389157777124
2020-12-28,DIS,178.86,,,177.13132716926782
2020-12-29,DIS,177.3,,,176.85065891561308
2020-12-30,DIS,181.17,,,176.0197181921338
2020-12-31,DIS,181.18,,,
2020-12-01,MSFT,216.21,,,
2020-12-02,MSFT,215.37,214.79426362688554,,
2020-12-03,MSFT,214.24,215.84790408243475,,
2020-12-04,MSFT,214.36,215.58634551047612,214.76362959440624,
2020-12-07,MSFT,214.29,215.75699787692096,217.0465807352376,
2020-12-08,MSFT,216.01,214.01486200032858,216.04046468600288,
2020-12-09,MSFT,211.8,214.65426310038234,215.59795000616748,
2020-12-10,MSFT,210.52,215.80973271443844,214.67675780919038,216.03559396422108
2020-12-11,MSFT,213.26,213.0809605083791,214.67589745383228,216.98543381695953
2020-12-14,MSFT,214.2,211.96143118578217,216.9176859041181,217.84060851538928
2020-12-15,MSFT,214.13,212.06594164337574,213.26062061214148,216.09912290391665
2020-12-16,MSFT,219.28,214.33583697548048,211.85258486460194,215.59822767543187
2020-12-17,MSFT,219.42,214.45036898669875,212.86660508893237,215.96361821897335
2020-12-18,MSFT,218.59,217.38145335593913,214.30012896902272,216.84389524645718
2020-12-21,MSFT,222.59,220.69073729541518,215.41855724176065,214.90557830113428
2020-12-22,MSFT,223.94,218.62612389556995,218.3941147067528,212.2262094497133
2020-12-23,MSFT,221.02,,220.6513106361046,213.86522484721993
2020-12-24,MSFT,222.75,,219.23081786439278,215.59388322313714
2020-12-28,MSFT,224.96,,,220.25427092119972
2020-12-29,MSFT,224.15,,,221.21569834663956
2020-12-30,MSFT,221.68,,,220.1714658780705
2020-12-31,MSFT,222.42,,,
